sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jun 21, 2024 11:57:24

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
WS2812_TOP:WS2812_TOP                                       	    5253(0)	     183(0)	    5104(0)	    70(0)	     0(0)	
 +uartrx_config:test_uart_rx                                	     28(28)	       0(0)	     56(56)	     0(0)	     0(0)	
 +uartrx_data:test_uart_rx                                  	     20(20)	       0(0)	     39(39)	     0(0)	     0(0)	
 +ws_wr_fifo_config:phy_FIFO                                	     104(0)	      30(0)	      48(0)	     1(0)	     0(0)	
  +u_efx_fifo_top:efx_fifo_top_32d04aeed835495e81d0eaddcc997863_renamed_due_excessive_length_1	     104(4)	      30(0)	      48(0)	     1(0)	     0(0)	
   +xefx_fifo_ram:efx_fifo_ram_32d04aeed835495e81d0eaddcc997863(OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     1(1)	     0(0)	
   +xefx_fifo_ctl:efx_fifo_ctl_32d04aeed835495e81d0eaddcc997863(SYNC_CLK=0,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROG_EMPTY_NEGATE=2)	    100(60)	     30(30)	     48(12)	     0(0)	     0(0)	
    +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_32d04aeed835495e81d0eaddcc997863(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
    +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_32d04aeed835495e81d0eaddcc997863(STAGE=2,WIDTH=10)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
    +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
